num_layer,num_param,d_loss_min,d_loss_final,g_loss_min,g_loss_final
9,1151584,0.008543525,0.025564317,0.5684902,0.8722595,
9,1228944,0.010128422,0.01702112,0.60210484,0.8807374,
9,1308704,0.013829968,0.028995933,0.59381634,0.92290914,
9,1390864,0.010553735,0.028731063,0.6234491,0.7310878,
9,1475424,0.012174044,0.052345578,0.5588336,0.7836601,
9,1562384,0.01376947,0.036475986,0.5861627,0.72751045,
9,1651744,0.007392887,0.02490872,0.59773535,0.6808884,
9,1743504,0.017894266,0.04114216,0.5605236,0.8532127,
9,1837664,0.016814169,0.04688596,0.6081759,0.75936353,
9,1934224,0.008477078,0.024667565,0.6300713,0.71841466,
13,1051844,0.0037205801,0.03824272,0.6475811,0.8246097,
13,1165764,0.008994194,0.05402903,0.59456027,1.184443,
13,1286084,0.006262049,0.013006073,0.6416088,0.9368415,
13,1412804,0.007844143,0.043461964,0.5800219,0.9703179,
13,1545924,0.009521514,0.03008456,0.6845993,0.90340865,
13,1685444,0.008039795,0.056585982,0.59383965,0.670933,
13,1831364,0.013821976,0.029933572,0.60589826,0.70877755,
13,1983684,0.011997089,0.03188457,0.5582077,0.90391743,
13,2142404,0.014376294,0.022868278,0.5342293,0.5787336,
13,2307524,0.012685601,0.037509892,0.56198025,0.56198025,
17,625364,0.007495202,0.032910787,0.7264613,1.2905943,
17,705604,0.008909173,0.034114577,0.6048682,1.1134207,
17,791444,0.008397808,0.021200722,0.64780605,1.1600125,
17,882884,0.009195048,0.04664872,0.60204244,0.8671794,
17,979924,0.009684212,0.01660926,0.6434519,0.8231174,
17,1082564,0.0138171185,0.051408075,0.70695496,0.87215614,
17,1190804,0.0060529215,0.035051953,0.61333036,0.90225434,
17,1304644,28.23385,28.23385,4.9207726,4.9207726,
17,1424084,0.018148944,0.026730571,0.66493607,0.8051739,
17,1549124,0.0108736735,0.027869646,0.6080982,0.8224629,
9,688084,0.003161316,0.009390995,0.6347743,0.906106,
9,770844,0.005605462,0.024335548,0.55414045,1.0420417,
9,857604,0.009896729,0.025264222,0.67183566,0.9058999,
9,948364,0.008759711,0.02676012,0.6423707,0.7241019,
9,1043124,0.010399176,0.05583434,0.6232103,1.014183,
9,1141884,0.011199686,0.053358205,0.58242476,0.80993676,
9,1244644,0.009700658,0.03533233,0.62577933,1.0258043,
9,1351404,0.016229607,0.08172059,0.58210444,0.7366129,
9,1462164,0.011804728,0.028114919,0.64598835,0.8454516,
9,1576924,0.0073521053,0.036711223,0.63275194,0.7096726,
13,1368364,0.014159057,0.033943485,0.6509523,0.8249446,
13,1546804,0.011131064,0.05074962,0.6318581,0.71888566,
13,1735644,0.008753045,0.038754873,0.68404275,1.0555933,
13,1934884,0.007845191,0.027513728,0.63032085,0.946426,
13,2144524,0.01391496,0.07210076,0.6424078,0.9428468,
13,2364564,0.007820524,0.028277304,0.5844419,0.82852566,
13,2595004,0.014715289,0.025891133,0.6098131,0.6098131,
13,2835844,0.012180084,0.037506327,0.60233283,0.60233283,
13,3087084,0.016210083,0.054476943,0.39168626,0.87661093,
9,161624,0.004286983,0.0073479963,0.8079532,1.1926892,
9,196584,0.005739561,0.05276922,0.71027803,0.9713372,
9,233944,0.0053374693,0.040515333,0.7096992,1.1696048,
9,273704,0.0049517155,0.038996994,0.66552997,1.252744,
9,315864,0.010428572,0.032263555,0.5620131,1.1756357,
9,360424,0.013695745,0.03949436,0.6770746,1.2439332,
9,407384,0.012339377,0.04367654,0.73157847,1.0430384,
9,456744,0.0060233315,0.0060233315,0.6118748,0.94865495,
9,508504,0.009837693,0.018629799,0.70878065,0.96787083,
9,562664,0.0109484205,0.02730368,0.72467935,1.172657,
9,619224,0.0074371505,0.022469953,0.66498834,1.0241458,
13,139954,0.0044035213,0.052834373,0.7749238,1.479527,
13,186274,0.005932227,0.022281155,0.69534385,1.2102377,
13,238994,0.004363012,0.027537549,0.70020485,1.2105064,
13,298114,0.0022542041,0.032459684,0.61430615,1.168036,
13,363634,0.0030867578,0.030315537,0.65991795,1.2910702,
13,435554,0.0066673504,0.045838993,0.57538295,1.2568369,
13,513874,0.006755069,0.02940157,0.6467509,1.1910517,
13,598594,0.010684317,0.0112722255,0.65960294,1.2518587,
13,689714,0.0128452545,0.023617404,0.61769974,0.84640086,
13,787234,0.015443505,0.033433337,0.63010705,0.91893363,
17,136148,0.002671386,0.010583773,1.2435179,1.753871,
17,165008,0.00052700005,0.04995582,0.8475223,1.8184495,
17,199468,0.000976775,0.010667793,0.78505456,1.7599912,
17,239528,0.0015861774,0.015846403,0.75076145,1.3789201,
17,285188,0.0034189888,0.037149526,0.75961393,1.0544288,
