num_layer,num_param,d_loss_min,d_loss_final,g_loss_min,g_loss_final
5,52284,9.115621e-05,0.00028745364,1.074286,4.8908625,
5,831772,4.323922e-05,0.020620713,0.9630443,4.67392,
5,219292,1.0903221e-05,0.0052993093,1.16745,5.3681316,
9,154684,1.4381282e-05,0.009039988,1.1740296,5.4473157,
9,443404,1.3154597e-05,0.0026621057,1.1670035,3.8711045,
9,2485124,1.2688454e-05,0.029993854,1.1105286,3.64783,
13,359228,6.029557e-06,0.012058543,1.1834296,4.136758,
13,5746092,3.172273e-05,0.00033098386,1.1015863,3.5397258,
5,1273828,4.7415222e-05,0.04402525,0.9736574,3.7536201,
5,330928,0.0002881984,0.03235337,1.0336787,5.7796383,
5,152628,9.0363865e-05,0.04051996,1.0754421,5.0630236,
5,88978,1.4367397e-05,0.0015917155,1.137032,5.2306366,
5,58948,0.00014408084,0.01562444,1.2111242,5.2783976,
5,42328,5.9454553e-05,0.009684541,1.1368759,5.3660793,
5,31762,5.3512933e-05,0.010784796,1.0891786,5.5873556,
5,25378,2.965136e-05,0.030036075,1.0165429,4.768063,
5,20457,1.5514692e-05,0.018826455,1.0063984,5.15785,
5,17248,2.8618953e-05,0.024145454,0.96385694,4.692047,
7,2948428,0.00013632252,0.0017251195,1.2402896,4.0493865,
7,754228,8.4940675e-06,7.926356e-05,1.0448711,4.173425,
7,342828,6.209531e-05,0.0046790075,1.0730765,5.4880004,
7,197128,1.2442225e-05,1.2442225e-05,1.0011119,4.904538,
7,128908,3.125447e-05,0.0056401207,1.1639085,5.5062532,
7,91428,4.186318e-05,0.025787042,1.1326582,5.2545147,
7,302313,7.2689254e-05,0.0145584345,1.1593374,6.1032696,
7,278177,0.0001304065,0.031408623,1.1060072,4.902608,
7,260239,6.5591936e-05,7.492663e-05,1.0914605,4.303848,
7,246769,2.5291108e-06,0.010161077,1.1492548,5.5006504,
13,358608,4.730551e-05,0.0135657815,1.2729294,3.471816,
13,424288,5.031269e-05,0.017072007,1.1191227,4.691042,
13,495568,2.3299588e-05,0.0056660636,1.1642768,5.2823424,
13,572448,2.8033674e-05,0.002644945,0.9410796,5.9406376,
13,654928,0.0001983247,0.014751192,1.2795467,4.0638657,
13,743008,2.523424e-05,0.07679002,0.97526526,5.3865376,
13,836688,4.6999326e-06,0.0032993283,0.9973923,4.4280667,
13,935968,4.0718155e-06,0.0029217796,1.1492631,4.4433813,
13,1040848,1.8333678e-05,0.0068657575,1.1635485,3.715387,
13,1151328,5.8787988e-05,0.008189106,0.95842385,4.3728466,
5,435888,5.64225e-06,0.027958887,1.0311673,6.0281754,
5,496248,3.391808e-05,0.017996008,0.87563306,4.677391,
5,560608,4.490874e-06,8.841308e-05,1.0467284,4.287321,
5,628968,1.0952242e-05,0.01818099,1.2535996,4.5169926,
5,701328,2.2937918e-07,0.008102518,1.1758449,4.9486003,
5,777688,2.2395756e-05,0.0131711485,1.1515179,3.7964091,
5,858048,4.906036e-05,0.006856392,1.2484515,5.566061,
5,942408,2.9271972e-05,0.0001828906,1.1566998,4.1615305,
5,1030768,2.3783026e-05,0.07161151,1.2817035,6.0705576,
5,1123128,5.566855e-05,0.011257013,1.2727313,4.0187387,
9,1116168,1.8176324e-05,0.015602514,1.1683115,4.894788,
9,1272208,5.5152464e-06,0.0106429,1.0920465,3.8485422,
9,1438648,0.00015459972,0.0027425278,1.0274398,3.1523843,
9,1615488,3.4454697e-05,0.014014205,1.0644965,3.7417731,
9,1802728,1.1298371e-05,0.016768789,1.1281581,3.5625255,
9,2000368,6.892139e-05,0.0044114264,1.1645348,4.099364,
9,2208408,9.702074e-05,0.00023379372,0.9858305,5.040623,
9,2426848,4.2440435e-05,0.0008693445,0.9638309,4.538772,
9,2655688,4.943586e-06,0.02083164,1.1135547,4.311376,
9,2894928,1.3857299e-05,0.030818654,1.3805513,3.9919226,
9,3833168,7.847054e-06,0.0138469925,1.1096249,3.7316155,
9,4121208,0.0002250638,0.024247028,1.0148048,4.6432123,
